source_record_pk,sample_initiative_id,initiative_source_id,initiative_title,doc_format,doc_kinds_csv,initiatives_count,doc_refs_count,extractor_version,subject_method,confidence,needs_review,extracted_subject,extracted_title,extracted_excerpt,source_url,raw_path,review_status,final_subject,final_title,final_confidence,review_note,reviewer
141857,senado:leg14:exp:621/000003,senado_iniciativas,Proyecto de Ley reguladora de determinados aspectos de los servicios electrónicos de confianza. (621/000003),xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis14/enmiendas/621_000003,Proyecto de Ley reguladora de determinados aspectos de los servicios electrónicos de confianza. (621/000003),Total de enmiendas /legis14/enmiendas/621_000003.doc doc 16 RETIRADAS 1 800 1 GRUPO PARLAMENTARIO SOCIALISTA 0 7 801 2 GRUPO PARLAMENTARIO POPULAR EN EL SENADO 0 4 803 4 GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV) 0 2 808 5 GRUPO PARLAMENTARIO CIUDADANOS 0 1 806 8 GRUPO PARLAMENTARIO MIXTO 0 3 TOTAL 0 17,https://www.senado.es/legis14/expedientes/621/enmiendas/global_enmiendas_vetos_14_621000003.xml,etl/data/raw/text_documents/parl_initiative_docs/9f92e75759b1af7f981aea3ab2752a8d52e5b498be9d72623d9e5da6163b04b4.bin,,,,,,
141859,senado:leg15:exp:621/000001,senado_iniciativas,Proyecto de Ley por la que se regulan las enseñanzas artísticas superiores y se establece la organización y equivalencias de las enseñanzas artísticas profesionales. (621/000001),xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis15/enmiendas/621_000001,Proyecto de Ley por la que se regulan las enseñanzas artísticas superiores y se establece la organización y equivalencias de las enseñanzas artísticas profesionales. (621/000001),"Total de enmiendas /legis15/enmiendas/621_000001.doc doc 145 RETIRADAS 2 801 1 GRUPO PARLAMENTARIO POPULAR EN EL SENADO 0 19 800 2 GRUPO PARLAMENTARIO SOCIALISTA 0 3 805 3 GRUPO PARLAMENTARIO IZQUIERDAS POR LA INDEPENDENCIA (ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU) 0 33 807 4 GRUPO PARLAMENTARIO PLURAL EN EL SENADO JUNTS PER CATALUNYA-COALICI�N CANARIA-AGRUPACI�N HERRE�A INDEPENDIENTE-BLOQUE NACIONALISTA GALEGO 0 49 804 6 GRUPO PARLAMENTARIO IZQUIERDA CONFEDERAL (M�S MADRID, EIVISSA I FORMENTERA AL SENAT, COMPROM�S, AGRUPACI�N SOCIALISTA GOMERA Y GEROA BAI) 0 31 806 7 GRUPO PARLAMENTARIO MIXTO 0 12 TOTAL 0 147",https://www.senado.es/legis15/expedientes/621/enmiendas/global_enmiendas_vetos_15_621000001.xml,etl/data/raw/text_documents/parl_initiative_docs/d66091c528c9a58a39fc2f7544d16e52f781229467da54ea637498c1fe09b160.bin,,,,,,
141920,senado:leg10:exp:610/000016,senado_iniciativas,"Denuncia del Acta de Londres al Arreglo de La Haya, de 6 de noviembre de 1925, relativo al Depósito internacional de dibujos y modelos industriales, hecha en Londres el 2 de junio de 1934, así como del Acta adicional de Mónaco al Arreglo de La Haya, relativo al Depósito internacional de dibujos y modelos industriales, de 6 de noviembre de 1925, revisado en Londres el 2 de junio de 1934, hecha en Mónaco el 18 de noviembre de 1961. (610/000016)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,Convenios Internacionales (art�culo 94,"Denuncia del Acta de Londres al Arreglo de La Haya, de 6 de noviembre de 1925, relativo al Depósito internacional de dibujos y modelos industriales, hecha en Londres el 2 de junio de 1934, así como del Acta adicional de Mónaco al Arreglo de La Haya, relativo al Depósito internacional de dibujos y modelos industriales,…","Denuncia del Acta de Londres al Arreglo de La Haya, de 6 de noviembre de 1925, relativo al Dep�sito internacional de dibujos y modelos industriales, hecha en Londres el 2 de junio de 1934, as� como del Acta adicional de M�naco al Arreglo de La Haya, relativo al Dep�sito internacional de dibujos y modelos industriales, de 6 de noviembre de 1925, revisado en Londres el 2 de junio de 1934, hecha en M�naco el 18 de noviembre de 1961. Autorizado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 23/05/12 29/05/12 10 610/000016 SI Ordinario GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho internacional Organismos internacionales Industria C C 1 14-1 02/03/12 Acuerdo de…",http://www.senado.es/legis10/expedientes/610/xml/INI-3-610000016.xml,etl/data/raw/text_documents/parl_initiative_docs/e26d9f485f3523d882136a11e196dca7ffe3fd8b4be71d92f263cdf6ecdf3cbd.bin,,,,,,
141928,senado:leg10:exp:610/000024,senado_iniciativas,"Protocolo de Nagoya-Kuala Lumpur sobre responsabilidad y compensación suplementario al Protocolo de Cartagena sobre seguridad de la biotecnología, hecho en Nagoya el 15 de octubre de 2010. (610/000024)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,Convenios Internacionales (art�culo 94,"Protocolo de Nagoya-Kuala Lumpur sobre responsabilidad y compensación suplementario al Protocolo de Cartagena sobre seguridad de la biotecnología, hecho en Nagoya el 15 de octubre de 2010. (610/000024)","Protocolo de Nagoya-Kuala Lumpur sobre responsabilidad y compensaci�n suplementario al Protocolo de Cartagena sobre seguridad de la biotecnolog�a, hecho en Nagoya el 15 de octubre de 2010. Autorizado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 06/06/12 12/06/12 10 610/000024 SI Ordinario GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho internacional Medio ambiente Investigaci�n, desarrollo e innovaci�n Sanidad. C C 1 26-1 16/04/12 Acuerdo de tramitaci�n http://www.congreso.es/public_oficiales/L10/CONG/BOCG/C/C_026-01.PDF C C 1 26-2 30/05/12 Dictamen de la Comisi�n http://www.congreso.es/public_oficiales/L10/CONG/BOCG/C/C_026-02.PDF C C 1 26-3 05/06/12 Auto…",http://www.senado.es/legis10/expedientes/610/xml/INI-3-610000024.xml,etl/data/raw/text_documents/parl_initiative_docs/44ff8ecb6b8f24b690222a77925c7cabf7dbd03763eadb7508e3b20c05936881.bin,,,,,,
141953,senado:leg10:exp:610/000124,senado_iniciativas,"Protocolo para la eliminación del comercio ilícito de productos de tabaco, hecho en Seúl el 12 de noviembre de 2012. (610/000124)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,Convenios Internacionales (art�culo 94,"Protocolo para la eliminación del comercio ilícito de productos de tabaco, hecho en Seúl el 12 de noviembre de 2012. (610/000124)","Protocolo para la eliminaci�n del comercio il�cito de productos de tabaco, hecho en Se�l el 12 de noviembre de 2012. Autorizado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 02/07/14 08/07/14 10 610/000124 NO Ordinario GOBIERNO 1 Comisi�n de Asuntos Exteriores Comercio C C 1 145-1 23/05/14 Acuerdo de tramitaci�n http://www.congreso.es/public_oficiales/L10/CONG/BOCG/C/BOCG-10-C-145-1.PDF C C 1 145-2 18/06/14 Dictamen de la Comisi�n http://www.congreso.es/public_oficiales/L10/CONG/BOCG/C/BOCG-10-C-145-2.PDF C C 1 145-3 02/07/14 Autorizaci�n por el Pleno http://www.congreso.es/public_oficiales/L10/CONG/BOCG/C/BOCG-10-C-145-3.PDF CG A 1 282 23/05/14 Texto del Pro…",http://www.senado.es/legis10/expedientes/610/xml/INI-3-610000124.xml,etl/data/raw/text_documents/parl_initiative_docs/5c3c4003630515d0b2697a270019534b20b86d0fef1aeae8dac3ced9bb7fa229.bin,,,,,,
141977,senado:leg12:exp:621/000001,senado_iniciativas,"Proyecto de Ley sobre restitución de bienes culturales que hayan salido de forma ilegal del territorio español o de otro Estado miembro de la Unión Europea, por la que se incorpora al ordenamiento español la Directiva 2014/60/UE, del Parlamento Europeo y del Consejo de 15 de mayo de 2014. (621/000001)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis12/enmiendas/621_000001,"Proyecto de Ley sobre restitución de bienes culturales que hayan salido de forma ilegal del territorio español o de otro Estado miembro de la Unión Europea, por la que se incorpora al ordenamiento español la Directiva 2014/60/UE, del Parlamento Europeo y del Consejo de 15 de mayo de 2014. (621/000001)",Total de enmiendas /legis12/enmiendas/621_000001.doc doc 7 RETIRADAS 0 803 5 GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV) 0 5 806 7 GRUPO PARLAMENTARIO MIXTO 0 2 TOTAL 0 7,http://www.senado.es/legis12/expedientes/621/enmiendas/global_enmiendas_vetos_12_621000001.xml,etl/data/raw/text_documents/parl_initiative_docs/4d3abfd041aad7c8cc3a88d51a17d04dec60c94defd21d0838add6625b49888a.bin,,,,,,
141978,senado:leg12:exp:624/000014,senado_iniciativas,"Proposición de Ley Orgánica de modificación de la Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal, en materia de imprudencia en la conducción de vehículos a motor o ciclomotor y sanción del abandono del lugar del accidente. (624/000014)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis12/enmiendas/624_000014,"Proposición de Ley Orgánica de modificación de la Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal, en materia de imprudencia en la conducción de vehículos a motor o ciclomotor y sanción del abandono del lugar del accidente. (624/000014)",Total de enmiendas /legis12/enmiendas/624_000014.doc doc 10 RETIRADAS 0 804 3 GRUPO PARLAMENTARIO UNIDOS PODEMOS-EN COM� PODEM-EN MAREA 0 10 TOTAL 0 10,http://www.senado.es/legis12/expedientes/624/enmiendas/global_enmiendas_vetos_12_624000014.xml,etl/data/raw/text_documents/parl_initiative_docs/6d8d6709f01eeacd9f82f58c38d24063eccb9ce03c80a89ac6858d4b702db00a.bin,,,,,,
141981,senado:leg14:exp:621/000045,senado_iniciativas,"Proyecto de Ley por la que se modifica la Ley 23/2011, de 29 de julio, de depósito legal. (621/000045)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis14/enmiendas/621_000045,"Proyecto de Ley por la que se modifica la Ley 23/2011, de 29 de julio, de depósito legal. (621/000045)",Total de enmiendas /legis14/enmiendas/621_000045.doc doc 8 RETIRADAS 0 807 6 GRUPO PARLAMENTARIO NACIONALISTA EN EL SENADO JUNTS PER CATALUNYA-COALICI�N CANARIA/PARTIDO NACIONALISTA CANARIO 0 3 806 8 GRUPO PARLAMENTARIO MIXTO 0 5 TOTAL 0 8,https://www.senado.es/legis14/expedientes/621/enmiendas/global_enmiendas_vetos_14_621000045.xml,etl/data/raw/text_documents/parl_initiative_docs/5c0b6e62b8a471546583b339a13ece4630d4bfec3998da62cc4572ecf2a1c6ca.bin,,,,,,
141982,senado:leg14:exp:621/000046,senado_iniciativas,Proyecto de Ley General de Telecomunicaciones. (621/000046),xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis14/enmiendas/621_000046,Proyecto de Ley General de Telecomunicaciones. (621/000046),"Total de enmiendas /legis14/enmiendas/621_000046.doc doc 123 RETIRADAS 2 801 2 GRUPO PARLAMENTARIO POPULAR EN EL SENADO 0 14 805 3 GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU 0 38 803 4 GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV) 0 16 804 5 GRUPO PARLAMENTARIO DE IZQUIERDA CONFEDERAL (ADELANTE ANDALUC�A, M�S PER MALLORCA, M�S MADRID, COMPROM�S, GEROA BAI Y AGRUPACI�N SOCIALISTA GOMERA) 0 3 807 6 GRUPO PARLAMENTARIO NACIONALISTA EN EL SENADO JUNTS PER CATALUNYA-COALICI�N CANARIA/PARTIDO NACIONALISTA CANARIO 0 18 808 7 GRUPO PARLAMENTARIO DEMOCR�TICO (CIUDADANOS, AGRUPACI�N DE ELECTORES ""TERUEL EXISTE"" Y PARTIDO REGIONALISTA DE CANTABRIA) 0 28 806 8 GRUPO PARLAMENTARIO M…",https://www.senado.es/legis14/expedientes/621/enmiendas/global_enmiendas_vetos_14_621000046.xml,etl/data/raw/text_documents/parl_initiative_docs/9082157e715bb0e78c282c1366a0ea1d923c8fdfb6cf517a6d4e17934d2736ce.bin,,,,,,
141983,senado:leg14:exp:621/000047,senado_iniciativas,Proyecto de Ley de Calidad de la Arquitectura. (621/000047),xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis14/enmiendas/621_000047,Proyecto de Ley de Calidad de la Arquitectura. (621/000047),Total de enmiendas /legis14/enmiendas/621_000047.doc doc 39 RETIRADAS 0 801 2 GRUPO PARLAMENTARIO POPULAR EN EL SENADO 0 24 805 3 GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU 0 9 803 4 GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV) 0 1 806 8 GRUPO PARLAMENTARIO MIXTO 0 5 TOTAL 0 39,https://www.senado.es/legis14/expedientes/621/enmiendas/global_enmiendas_vetos_14_621000047.xml,etl/data/raw/text_documents/parl_initiative_docs/44e732bb4b78d6659d410cae603308fd3170c99481f7a3aea2ee4d33ee82c829.bin,,,,,,
