packet_kind,packet_rank,packet_id,cohort,legislature,tipo_expediente,initiative_id,doc_kind,doc_url,last_http_status,attempts,last_attempt_at,method_hint,is_zero_doc_initiative,cohort_missing_urls,cohort_blocked_403_rate
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000144,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000144&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000145,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000145&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000146,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000146&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,1,cohort_01_leg10:tipo610,leg10:tipo610,10,610,senado:leg10:exp:610/000147,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=610&id2=000147&legis=10,404,7,2026-03-01T02:02:55+00:00,other,0,271,0.066421
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000049,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000049,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000050,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000050,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000051,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000051,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000052,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000052,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000053,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000053,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000054,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000054,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
