batch_id,doc_url,initiative_id,doc_kind,content_type,source_record_pk,raw_path
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_014_2025.pdf,congreso:ley:14:2025,pdf,application/pdf,141633,etl/data/raw/text_documents/parl_initiative_docs/b686710668a8a7faf7ba5e95c237581ccb58098fddbd1d946adddf244be3f324.pdf
factory-20260219-lane_c-001,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_015_2025_conv.pdf,congreso:ley:15:2025,pdf,application/pdf,141634,etl/data/raw/text_documents/parl_initiative_docs/918c25606967d6ad8b706944b9c74dfa2cd7659832e472b2c3685b3c7c39224f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-1.PDF,congreso:leg15:exp:121/000016/0000,pdf,application/pdf,141635,etl/data/raw/text_documents/parl_initiative_docs/7280c23af50fe7fb2194816f430f736a5ebbce255c0342bbb4bbb3d88e4c146f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-16-2.PDF,congreso:leg15:exp:121/000016/0000,pdf,application/pdf,141636,etl/data/raw/text_documents/parl_initiative_docs/6d7892c1456bea49d71f86359ee6a7d6f196c817784a62475c8f2f40b7488bae.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-1.PDF,congreso:leg15:exp:121/000018/0000,pdf,application/pdf,141637,etl/data/raw/text_documents/parl_initiative_docs/6bcc619061465cda917b473c058ec5c624864b01d2b77851cfd0eac574284bce.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-2.PDF,congreso:leg15:exp:121/000018/0000,pdf,application/pdf,141638,etl/data/raw/text_documents/parl_initiative_docs/4465199f1c2ebdcd3aae7ff0479bccabebbaa7a828dc00184dbba71c0e336238.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-1.PDF,congreso:leg15:exp:121/000020/0000,pdf,application/pdf,141639,etl/data/raw/text_documents/parl_initiative_docs/eb521215be2d6e7b1cfcae7c27f7d930efe7481b8e2dea299614ef8e95a9865b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-2.PDF,congreso:leg15:exp:121/000020/0000,pdf,application/pdf,141640,etl/data/raw/text_documents/parl_initiative_docs/9dea43221541f21a0bb049765a775d385bded75ab35c1d61c08276d11d532f1f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-1.PDF,congreso:leg15:exp:121/000023/0000,pdf,application/pdf,141641,etl/data/raw/text_documents/parl_initiative_docs/23f14123ffd271fdb2edf327ebf5faf325d6f2828aaeb50ef21ed6dea4bbb954.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-23-2.PDF,congreso:leg15:exp:121/000023/0000,pdf,application/pdf,141642,etl/data/raw/text_documents/parl_initiative_docs/fb6d397d245c5b65fa27eeb63e06f2e2ca35ca8232364607fb3d877a44f47a73.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-30-1.PDF,congreso:leg15:exp:121/000030/0000,pdf,application/pdf,141643,etl/data/raw/text_documents/parl_initiative_docs/253c339b727245172650be83daa5f9c6329426088d288b184f8e8216436d2f41.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-30-2.PDF,congreso:leg15:exp:121/000030/0000,pdf,application/pdf,141644,etl/data/raw/text_documents/parl_initiative_docs/b37cac4e849d16c4973eca30de87eb754d5a8ea77bccd727b65a3ab0472bfc6f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-120-1.PDF,congreso:leg15:exp:122/000108/0000,pdf,application/pdf,141645,etl/data/raw/text_documents/parl_initiative_docs/995fe7e23f759f2b088f0c5bf7e8a22d90cc7dc24610e8a5e8620e9969b5661a.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-120-2.PDF,congreso:leg15:exp:122/000108/0000,pdf,application/pdf,141646,etl/data/raw/text_documents/parl_initiative_docs/f21ec22d0e0dad80f58179c525b8d5f1ea2d63b97ee279c5f414173a6560527e.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-128-1.PDF,congreso:leg15:exp:122/000114/0000,pdf,application/pdf,141647,etl/data/raw/text_documents/parl_initiative_docs/86b45eee5331a44401734c6822d815403f083a95514a6b2bf9f66c3883ab8466.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-128-2.PDF,congreso:leg15:exp:122/000114/0000,pdf,application/pdf,141648,etl/data/raw/text_documents/parl_initiative_docs/1f2255ccd60e128527a0cfa45fb12bec438b311de4718bb4a60a53391c4756e2.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-139-1.PDF,congreso:leg15:exp:122/000124/0000,pdf,application/pdf,141649,etl/data/raw/text_documents/parl_initiative_docs/233b0a15d907d1fbaaa0fad5ebd70d1812c9bef8f1e746a0fb34a51cb590e6a7.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-139-2.PDF,congreso:leg15:exp:122/000124/0000,pdf,application/pdf,141650,etl/data/raw/text_documents/parl_initiative_docs/e5cc71baa0bd889b9df4a237516b3a6deddc42126ae0b377630be60cf589953d.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-140-1.PDF,congreso:leg15:exp:122/000125/0000,pdf,application/pdf,141651,etl/data/raw/text_documents/parl_initiative_docs/0499af3539238307481b9fbb9adb68a76361188bf80d6b7f5e85abfdfdd8d03b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-140-2.PDF,congreso:leg15:exp:122/000125/0000,pdf,application/pdf,141652,etl/data/raw/text_documents/parl_initiative_docs/d1bfe0c8d5a595db0bdd79f5e659ec7cc6930e5c941142f2950c1348e44cb979.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-141-1.PDF,congreso:leg15:exp:122/000126/0000,pdf,application/pdf,141653,etl/data/raw/text_documents/parl_initiative_docs/37df3a3b5a95350acb5508ae81ddf9e4d41b03e5d23cf372619e876cc3b01d74.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-141-2.PDF,congreso:leg15:exp:122/000126/0000,pdf,application/pdf,141654,etl/data/raw/text_documents/parl_initiative_docs/48b50c411b6566c3578a47a345f2396da667a362b8cc40ce5dd5113fc198472a.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-147-1.PDF,congreso:leg15:exp:122/000130/0000,pdf,application/pdf,141655,etl/data/raw/text_documents/parl_initiative_docs/be93d0ae8231bdc044cbc3f8ed3ec44c06c9d6af640d0bde97d201b944adfeb4.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-147-2.PDF,congreso:leg15:exp:122/000130/0000,pdf,application/pdf,141656,etl/data/raw/text_documents/parl_initiative_docs/c38ecc227614bb77d8e949aa509518d3e73efa8dc7d446bb2561e890bc397f21.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-148-1.PDF,congreso:leg15:exp:122/000131/0000,pdf,application/pdf,141657,etl/data/raw/text_documents/parl_initiative_docs/c83157fcd63e1683d23cc089fc17c5b1f1d38e3ddf1752403f9163c8203686f7.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-148-2.PDF,congreso:leg15:exp:122/000131/0000,pdf,application/pdf,141658,etl/data/raw/text_documents/parl_initiative_docs/ec03cb128e0b5f888ddabf3f458d6f7751a183e017d84c852a711ff328558b02.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-149-1.PDF,congreso:leg15:exp:122/000132/0000,pdf,application/pdf,141659,etl/data/raw/text_documents/parl_initiative_docs/077c5d640aecc704d12886c3b5885826ad11f5c6649c681fa9c53c534d78d3a9.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-149-2.PDF,congreso:leg15:exp:122/000132/0000,pdf,application/pdf,141660,etl/data/raw/text_documents/parl_initiative_docs/648bccf006607f5e605c929a18a10a2d31554ff0b817f15566a535f21f10eb20.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-151-1.PDF,congreso:leg15:exp:122/000133/0000,pdf,application/pdf,141661,etl/data/raw/text_documents/parl_initiative_docs/51a602df94f8ef3beafd1b22261ef9b1d088bee22ba6a4ad1dd0a337394d8e02.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-151-2.PDF,congreso:leg15:exp:122/000133/0000,pdf,application/pdf,141662,etl/data/raw/text_documents/parl_initiative_docs/061bdafb92a158d288fa482d6d3b44d368adf8080f6747dada20aec65e637b61.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-155-1.PDF,congreso:leg15:exp:122/000137/0000,pdf,application/pdf,141663,etl/data/raw/text_documents/parl_initiative_docs/74ff8fcb9773fdaa43c54eefea5325b6fe4786d7233541786b0d28a66a27ab12.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-155-2.PDF,congreso:leg15:exp:122/000137/0000,pdf,application/pdf,141664,etl/data/raw/text_documents/parl_initiative_docs/5c2963a3e78109cd07499fc118ff5ca3d952407b237699760e447708fc78e2e0.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-157-1.PDF,congreso:leg15:exp:122/000139/0000,pdf,application/pdf,141665,etl/data/raw/text_documents/parl_initiative_docs/91754f5016f556f59143949f53ae382081e519144ae6be8d610a371a553b8c5b.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-157-2.PDF,congreso:leg15:exp:122/000139/0000,pdf,application/pdf,141666,etl/data/raw/text_documents/parl_initiative_docs/b72254ca7df815adb6098cd8ee254c44d6324e47e43110a51a825e60e4336fba.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-162-1.PDF,congreso:leg15:exp:122/000143/0000,pdf,application/pdf,141667,etl/data/raw/text_documents/parl_initiative_docs/de0f21c669fba15c41f2c111b4245891bc204021d4f4cfd69150f96cc427667f.pdf
factory-20260219-lane_c-001,https://www.congreso.es/public_oficiales/L15/CONG/BOCG/B/BOCG-15-B-162-2.PDF,congreso:leg15:exp:122/000143/0000,pdf,application/pdf,141668,etl/data/raw/text_documents/parl_initiative_docs/b4114454e446338c5b47fc1dc539802afd0ad3dc1e4c58ea64db6cd50fb60b04.pdf
