code,status,detail
D_1NBGA472,error,"La serie D_1NBGA472 no existe"
D_1NBGB472,error,"La serie D_1NBGB472 no existe"
D_1NBGC472,error,"La serie D_1NBGC472 no existe"
D_1NBGD472,error,"La serie D_1NBGD472 no existe"
D_1NBGE472,error,"La serie D_1NBGE472 no existe"
D_1NBGF472,error,"La serie D_1NBGF472 no existe"
D_1NBGG472,error,"La serie D_1NBGG472 no existe"
D_1NBGH472,error,"La serie D_1NBGH472 no existe"
D_1NBGI472,error,"La serie D_1NBGI472 no existe"
D_1NBGJ472,error,"La serie D_1NBGJ472 no existe"
D_1NBGK472,error,"La serie D_1NBGK472 no existe"
D_1NBGL472,error,"La serie D_1NBGL472 no existe"
D_1NBGM472,error,"La serie D_1NBGM472 no existe"
D_1NBGN472,error,"La serie D_1NBGN472 no existe"
D_1NBGO472,error,"La serie D_1NBGO472 no existe"
D_1NBGP472,error,"La serie D_1NBGP472 no existe"
D_1NBGQ472,error,"La serie D_1NBGQ472 no existe"
D_1NBGR472,error,"La serie D_1NBGR472 no existe"
D_1NBGS472,error,"La serie D_1NBGS472 no existe"
D_1NBGT472,error,"La serie D_1NBGT472 no existe"
D_1NBGU472,error,"La serie D_1NBGU472 no existe"
D_1NBGV472,error,"La serie D_1NBGV472 no existe"
D_1NBGW472,error,"La serie D_1NBGW472 no existe"
D_1NBGX472,error,"La serie D_1NBGX472 no existe"
D_1NBGY472,error,"La serie D_1NBGY472 no existe"
D_1NBGZ472,error,"La serie D_1NBGZ472 no existe"
D_1NBHA472,error,"La serie D_1NBHA472 no existe"
D_1NBHB472,error,"La serie D_1NBHB472 no existe"
D_1NBHC472,error,"La serie D_1NBHC472 no existe"
D_1NBHD472,error,"La serie D_1NBHD472 no existe"
D_1NBHE472,error,"La serie D_1NBHE472 no existe"
D_1NBHF472,error,"La serie D_1NBHF472 no existe"
D_1NBHG472,error,"La serie D_1NBHG472 no existe"
D_1NBHH472,error,"La serie D_1NBHH472 no existe"
D_1NBHI472,error,"La serie D_1NBHI472 no existe"
D_1NBHJ472,error,"La serie D_1NBHJ472 no existe"
D_1NBHK472,error,"La serie D_1NBHK472 no existe"
D_1NBHL472,error,"La serie D_1NBHL472 no existe"
D_1NBHM472,error,"La serie D_1NBHM472 no existe"
D_1NBHN472,error,"La serie D_1NBHN472 no existe"
D_1NBHO472,error,"La serie D_1NBHO472 no existe"
D_1NBHP472,error,"La serie D_1NBHP472 no existe"
D_1NBHQ472,error,"La serie D_1NBHQ472 no existe"
D_1NBHR472,error,"La serie D_1NBHR472 no existe"
D_1NBHS472,error,"La serie D_1NBHS472 no existe"
D_1NBHT472,error,"La serie D_1NBHT472 no existe"
D_1NBHU472,error,"La serie D_1NBHU472 no existe"
D_1NBHV472,error,"La serie D_1NBHV472 no existe"
D_1NBHW472,error,"La serie D_1NBHW472 no existe"
D_1NBHX472,error,"La serie D_1NBHX472 no existe"
D_1NBHY472,error,"La serie D_1NBHY472 no existe"
D_1NBHZ472,error,"La serie D_1NBHZ472 no existe"
D_1NBIA472,error,"La serie D_1NBIA472 no existe"
D_1NBIB472,error,"La serie D_1NBIB472 no existe"
D_1NBIC472,error,"La serie D_1NBIC472 no existe"
D_1NBID472,error,"La serie D_1NBID472 no existe"
D_1NBIE472,error,"La serie D_1NBIE472 no existe"
D_1NBIF472,error,"La serie D_1NBIF472 no existe"
