source_id,policy_event_id,event_date,published_date,boe_derived_date,title,summary,source_url
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo15:100226-rueda-de-prensa-ministros.aspx,,2026-02-10,,El Gobierno acuerda limitar la subida de los precios de productos y servicios en situaciones de emergencia para evitar abusos,"La Moncloa, Madrid, martes 10 de febrero de 2026 El Ejecutivo prohíbe las llamadas no deseadas de las comercializadoras de electricidad e impulsa una ley que garantiza la prioridad de la gestión pública en el Sistema Nacional de Salud. Además, declara zonas de emergencia las afectadas por las borrascas. Referencia del Consejo de Ministros",https://www.lamoncloa.gob.es/consejodeministros/resumenes/paginas/2026/100226-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo15:200126-rueda-de-prensa-ministros.aspx,,2026-01-20,,El Gobierno asistirá a las víctimas del accidente ferroviario de Adamuz durante todo el tiempo que necesiten,"La Moncloa, Madrid, martes 20 de enero de 2026 El Ejecutivo ha expresado su empatía con las víctimas, ha destacado la coordinación entre todas las administraciones para afrontar el siniestro y pondrá en conocimiento de la opinión pública los avances en la investigación de las causas del accidente con absoluta claridad y transparencia. Referencia del Consejo de Ministros | Transcripción de la rueda de prensa",https://www.lamoncloa.gob.es/consejodeministros/resumenes/paginas/2026/200126-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo15:270126-rueda-de-prensa-ministros.aspx,,2026-01-27,,El Gobierno inicia un proceso de regularización extraordinaria de extranjeros que ya viven en España,"Martes 27 de enero de 2026 Los beneficiarios deberán acreditar al menos 5 meses de residencia antes del 31 de diciembre de 2025 y carecer de antecedentes penales. El Ejecutivo, además, ha aprobado ayudas para las víctimas de los accidentes ferroviarios y el nuevo seguimiento telemático de los maltratadores. Referencia del Consejo de Ministros | Transcripción de la rueda de prensa",https://www.lamoncloa.gob.es/consejodeministros/resumenes/paginas/2026/270126-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo16:20260120-referencia-rueda-de-prensa-ministros.aspx,2026-01-20,2026-01-20,,Referencia del Consejo de Ministros,"La Moncloa, martes 20 de enero de 2026",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260120-referencia-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo16:20260127-referencia-rueda-de-prensa-ministros.aspx,2026-01-27,2026-01-27,,Referencia Consejo de Ministros,"La Moncloa, martes 27 de enero de 2026",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260127-referencia-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo16:20260203-referencia-rueda-de-prensa-ministros.aspx,2026-02-03,2026-02-03,,Referencia Consejo de Ministros,"La Moncloa, martes 3 de febrero de 2026",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260203-referencia-rueda-de-prensa-ministros.aspx
moncloa_rss_referencias,moncloa:moncloa_rss_referencias:tipo16:20260210-referencia-rueda-de-prensa-ministros.aspx,2026-02-10,2026-02-10,,Referencia Consejo de Ministros,"La Moncloa, martes 10 de febrero de 2026",https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/2026/20260210-referencia-rueda-de-prensa-ministros.aspx
boe_api_legal,boe:boe_api_legal:BOE-A-2026-3482,,2026-02-15,2026-02-15,"Real Decreto 123/2026, de 15 de febrero, por el que se actualizan medidas del regimen electoral general.",I. Disposiciones generales - MINISTERIO DE LA PRESIDENCIA - Referencia: BOE-A-2026-3482 - Paginas: 10,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-3482
boe_api_legal,boe:boe_api_legal:BOE-A-2026-3499,,2026-02-15,2026-02-15,"Orden INT/95/2026, de 12 de febrero, sobre administracion y censo electoral.",I. Disposiciones generales - MINISTERIO DEL INTERIOR - Referencia: BOE-A-2026-3499 - Paginas: 4,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-3499
boe_api_legal,boe:boe_api_legal:BOE-S-2026-41,,2026-02-15,2026-02-16,Sumario,Sumario del diario num. 41 - Referencia: BOE-S-2026-41,https://www.boe.es/boe/dias/2026/02/16/
